timestamp,exchange,spread,depth,volume,opportunity,position_size,executions,profit,capital
2025-11-12 10:00:00+00:00,Kucoin,0.1010881703161152,2364.5765984112977,20983.708333333325,True,1891.6612787290383,0.416,113.97740506282011,19134.245224065442
2025-11-12 11:00:00+00:00,Kucoin,0.1346048516385963,3112.4542140813,22284.208333333325,True,2489.96337126504,0.416,200.36687069870433,19334.612094764147
2025-11-12 12:00:00+00:00,Kucoin,0.0891316225075541,4178.918422373125,22391.458333333325,True,2798.9322916666656,0.416,148.45636152164604,19483.068456285793
2025-11-12 13:00:00+00:00,Kucoin,0.0831388809111836,5566.107668920625,24328.0,True,3041.0,0.416,150.3030457484685,19633.37150203426
2025-11-12 14:00:00+00:00,Kucoin,0.0554224725662175,5069.751366093925,25630.66666666675,True,3203.833333333344,0.416,104.78776226211512,19738.159264296377
2025-11-12 15:00:00+00:00,Kucoin,0.0804835302037971,4917.79156292245,28780.54166666675,True,3597.567708333344,0.416,172.04945001611537,19910.20871431249
2025-11-12 16:00:00+00:00,Kucoin,0.061627133805443,5612.771134827925,36898.66666666675,True,4490.21690786234,0.416,163.666821745418,20073.87553605791
2025-11-12 17:00:00+00:00,Kucoin,0.074315799914244,5155.96235244255,37806.0,True,4124.76988195404,0.416,181.91658434677083,20255.79212040468
2025-11-12 18:00:00+00:00,Kucoin,0.1175717705577613,5728.008670552375,37319.79166666675,True,4582.4069364419,0.416,321.6641261534981,20577.456246558177
2025-11-12 19:00:00+00:00,Kucoin,0.1054678477609196,5713.717042471225,34985.08333333325,True,4373.135416666656,0.416,275.04557845489194,20852.501825013067
2025-11-12 20:00:00+00:00,Kucoin,0.0557897383334367,4737.9277957596,32788.875,True,3790.3422366076798,0.416,124.81039866520172,20977.31222367827
2025-11-12 21:00:00+00:00,Kucoin,0.0464526275058789,4467.83146860055,31499.16666666675,True,3574.26517488044,0.416,97.5645179894713,21074.87674166774
2025-11-12 22:00:00+00:00,Kucoin,0.04330348466388,5062.0033179846,30137.5,True,3767.1875,0.416,95.67459018694935,21170.55133185469
2025-11-12 23:00:00+00:00,Kucoin,0.0370988684845111,5233.29779777665,29467.08333333325,True,3683.385416666656,0.416,79.76075517009161,21250.312087024784
2025-11-13 00:00:00+00:00,Kucoin,0.0741564777982718,5337.349584071125,29761.41666666675,True,3720.177083333344,0.416,163.71512532522382,21414.027212350007
2025-11-13 01:00:00+00:00,Kucoin,0.1047808664529645,5329.2974672499,29720.04166666675,True,3715.005208333344,0.416,232.11344608060676,21646.140658430613
2025-11-13 02:00:00+00:00,Kucoin,0.1109262340543538,7230.58974015735,29480.33333333325,True,3685.041666666656,0.416,243.90135303216036,21890.042011462774
2025-11-13 03:00:00+00:00,Kucoin,0.1016836328719846,7080.9307938032,29786.33333333325,True,3723.291666666656,0.416,225.6751393384988,22115.717150801273
2025-11-13 04:00:00+00:00,Kucoin,0.1077807452089181,6422.262570365725,31740.41666666675,True,3967.552083333344,0.416,255.0719615227479,22370.78911232402
2025-11-13 05:00:00+00:00,Kucoin,0.0800666282925332,6400.183771760975,31742.79166666675,True,3967.848958333344,0.416,188.75990013121145,22559.54901245523
2025-11-13 06:00:00+00:00,Kucoin,0.0522715520459023,5446.110853729475,36132.41666666675,True,4356.88868298358,0.416,134.219882093539,22693.768894548768
2025-11-13 07:00:00+00:00,Kucoin,0.0984418557495525,5199.86400144025,37403.41666666675,True,4159.8912011522,0.416,244.00377379813693,22937.772668346905
2025-11-13 08:00:00+00:00,Kucoin,0.0984600243211939,5169.870206462575,37432.70833333325,True,4135.89616517006,0.416,242.64164052578957,23180.414308872692
